user_id,category
afea8d72fc,Электроника
2824221f38,Продукты
9b2ab046f3,Электроника
44edeffc91,Продукты
1de31be403,Бытовая техника
5da0dedf13,Досуг
79843a685a,Продукты
e8447c40e2,Досуг
3fff459bda,Электроника
fa0079a5a8,Досуг
fdd6b2fc76,Бытовая техника
3f8e1ccd3f,Электроника
65f44a2eb7,Досуг
3ecff691fd,Электроника
9250593d55,Электроника
22fa3ea76f,Электроника
ed6b87f95d,Досуг
f983a69d67,Товары для животных
c6de96a5e2,Товары для животных
680aa815f9,Продукты
905e60cb52,Бытовая техника
06d450cc57,Электроника
6f159c4c2e,Товары для животных
1908683775,Электроника
72e0a3f1d0,Бытовая техника
bc1a0a7e26,Досуг
74c9201f84,Электроника
fe4615dd15,Досуг
f0a93d52d2,Электроника
dbe70d84e4,Строительство и ремонт
f93283c9ee,Бытовая техника
111c52d9bc,Продукты
87f37b380c,Продукты
7d6c62f0a2,Бытовая техника
ee9eb52181,Товары для животных
03b91dba06,Электроника
9ab8f3bbb8,Бытовая техника
2ffd6c724d,Продукты
421149bb9a,Строительство и ремонт
9ca11a651f,Электроника
3691ad282b,Электроника
6f198ac1c9,Бытовая техника
b461051101,Досуг
316ab03143,Товары для животных
19d1e4e036,Товары для животных
ddd50eaa45,Электроника
e07b13abd0,Бытовая техника
da79d9ff30,Товары для животных
e3654c7f1a,Досуг
12de58d8e6,Продукты
ab8e0c1a01,Досуг
dfe6f4ebb4,Бытовая техника
d47dd8b814,Электроника
eb5654cf30,Продукты
a86e69db63,Продукты
d15327eae3,Электроника
5278408c4c,Электроника
152ea9bb42,Бытовая техника
9f5bf9b73f,Строительство и ремонт
0cf6ee6c84,Бытовая техника
716a1b4e10,Продукты
42e3b7d1a1,Бытовая техника
c0cd6e93e6,Электроника
f537f6c8ea,Бытовая техника
733b99b95b,Электроника
116f29a8af,Электроника
29586e4061,Продукты
da237781d5,Продукты
62f37b821c,Досуг
7fa3bf64b4,Досуг
6812661e1c,Электроника
88afad2ad9,Продукты
bed9ab14bd,Товары для животных
74b06f9902,Строительство и ремонт
80023b95ac,Электроника
f34a165ad2,Электроника
5655da0e0b,Электроника
b15321ea7c,Продукты
a2468d6c33,Электроника
8abc724d78,Бытовая техника
a7bfa5d0cc,Досуг
48b9ea8b65,Электроника
